unit_id,retention_fulltime,student_faculty_ratio,applicants,admitted,enrolled_total,enrolled_fulltime,sat_submission_pct,act_submission_pct,religious_affiliation,study_abroad,evening_weekend,undergrad_research,disability_pct,pell_grant_pct,pell_grant_avg,institutional_grant_pct,institutional_grant_avg,loan_pct,loan_avg,any_aid_pct,tuition_fees,coa_instate_oncampus,coa_outofstate_oncampus,control_3,control_4
100654,70.0,19.0,23406,13564.0,1968.0,1939.0,27.0,67.0,0,1,1,1,3.42,67.0,6594.0,67.0,9530.0,76.0,6883.0,90.0,10024,27732.0,36342.0,0,0
100663,80.0,18.0,11379,10034.0,2014.0,1993.0,4.0,43.0,0,1,0,1,6.66,42.0,6870.0,76.0,9131.0,52.0,6747.0,95.0,9098,30249.0,43713.0,0,0
100706,84.0,17.0,7630,5232.0,1212.0,1200.0,5.0,56.0,0,1,1,0,5.43,26.0,5506.0,91.0,7926.0,37.0,7668.0,97.0,12132,32089.0,46365.0,0,0
100724,70.0,15.0,7229,7052.0,1056.0,1053.0,1.0,34.0,0,1,0,0,0.0,66.0,6447.0,57.0,9381.0,55.0,6870.0,87.0,11248,24056.0,32384.0,0,0
100751,89.0,19.0,56795,43531.0,8032.0,7973.0,15.0,43.0,0,1,1,1,9.13,20.0,5795.0,76.0,16835.0,37.0,11529.0,88.0,12180,33924.0,55916.0,0,0
100830,68.0,13.0,2694,2467.0,364.0,346.0,6.0,65.0,0,1,1,0,0.0,51.0,6257.0,96.0,4402.0,43.0,5204.0,98.0,9700,23113.0,34081.0,0,0
100858,95.0,21.0,55056,25284.0,6103.0,6081.0,15.0,75.0,0,1,0,1,3.54,12.0,5736.0,78.0,9950.0,29.0,9702.0,85.0,12890,36882.0,58914.0,0,0
101189,64.0,14.0,1073,784.0,269.0,232.0,2.0,14.0,1,1,1,0,10.0,52.0,5795.0,88.0,13905.0,66.0,7750.0,88.0,23920,38670.0,38670.0,0,1
101365,67.0,14.0,89,83.0,58.0,10.0,0.0,0.0,0,0,1,0,0.0,95.0,6271.0,74.0,2386.0,84.0,10220.0,100.0,13450,43500.0,49618.0,1,0
101435,67.0,15.0,2717,1888.0,280.0,280.0,4.0,30.0,1,1,0,0,4.85,46.0,5687.0,99.0,13782.0,75.0,8164.0,99.0,29070,42360.0,42360.0,0,1
